Game,Details,Image URL,Video URL,Category,Player Count,Difficulty,Age,appid
The Gallery - Episode 2,"After receiving your Gauntlet, a mysterious new power in the palm of your hand, you must travel to Ember, a long-forgotten world whose past holds many secrets. Find Elsie, uncover the history of Ember, and reveal the true intentions of the dark figure in the Starseed.",https://productionappstorage-f3b9.kxcdn.com/8801/conversions/hVPVT3IArKFMCZJT4Pl3u8yfzJwUgs7z6Bh71xdt-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24930/conversions/EmberstoneGallery2.webm,Escape,1,5,,526140
Tales of Escape,"Tales of Escape is a series of multiplayer VR, escape room adventures. Cold as Ice is the first story, which puts you, and up to 5 friends in an abandoned butcher shop late in the last millennium.",https://productionappstorage-f3b9.kxcdn.com/7810/conversions/c3zt3HdiOpYBBBgguj8JrlpWugM4uZ8o8uK8Gnhn-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10900/conversions/5VeAYEOR4Ha4bAdqZp0tBFTDAYwomV9NxZvRNgyc.webm,Escape,1-6,3,,587860
Escape First,"""Escape First"" is a multiplayer escape room puzzle game for virtual reality or desktop PC! It includes 3 different escape rooms to choose from and can be played competitively, co-op or solo. Multiplayer Gather up to 6 people and play as one team that tries to solve the puzzles or try the ""Versus"" mode, where each player is locked alone and tries to escape the room before the others do! Virtual Reality The game supports full roomscale/standing tracking with motion controllers on both the HTC Vive and Oculus Rift. VR is not necessary, you can play with a Desktop using keyboard & mouse / gamepad. The Rooms Psycho Circus After attending a spectacular performance at the circus ""De la Luna"", you find yourself trapped inside the clown's quarters. In a few minutes his show will end. Will you be able to find his spare key and escape before he returns? Everyone knows that clowns don't like other people touching their stuff! The Red Button One room, one door, one bloodied knife. ",https://productionappstorage-f3b9.kxcdn.com/9761/conversions/ENrlsK4VtnEwal6Gq6gDIsY67sySteEABOvoFz5I-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/23025/conversions/escapefirst_2.webm,Escape,1-6,3,,850450
VR: Vacate the Room,VR: Vacate the Room is a short Escape the Room game inspired by such classics as Crimson Room. It is a VR Experience where you need to find clues to solve puzzles and find your way out.,https://productionappstorage-f3b9.kxcdn.com/7510/conversions/GLktZ9Ukrxukn5DnujvJhA5zu1drZ562RxdRZd9w-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10887/conversions/snuE2uOixfzl5xl6f98Mzu9ZRxVm6TU4CWP2PNGR.webm,Escape,1,3,,494810
Blade & Sorcery,"Blade & Sorcery is a medieval fantasy sandbox like no other, focusing on melee, ranged and magic combat that fully utilizes VR with unique and realistic physics driven interactions.",https://productionappstorage-f3b9.kxcdn.com/23759/conversions/Image-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/23477/conversions/U8-Trailer-Final-1.webm,Fantasy,1,3,,3489700
Island 359,"Players will use the guns, knives, upgrades, and other tools found on the island to survive for as long as they can against hordes of dinosaurs, as they explore the increasingly dangerous island.",https://productionappstorage-f3b9.kxcdn.com/7140/conversions/oFtBKYXIIDFgIoJ3Tj6jYCSMUtIb8sa7PjkU7gdL-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24914/conversions/island359.webm,Fantasy,1,3,,476700
Ninja Legends,"Experience blood pumping action in immersive and beautiful VR environments. Hone your abilities with unique ninja weapons like katanas, claws and the staff and pair them with special abilities including a chain dart, shadow step and the bow. Enemy ninjas will utilize cooperative group attacks to swarm and surround you. You'll need to attack and block 360 degrees of action to survive.",https://productionappstorage-f3b9.kxcdn.com/17180/conversions/38974607_452949595283876_308327296928841728_n-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/17190/conversions/y2mate.com---ninja_legends_trailer_are_you_a_ninja_legend_lg7FTTxxvHY_1080p.webm,Fantasy,1,1,,1053830
Until You Fall,"This arcade-inspired VR hack-and-slash roguelite will force you to find and master your own fighting style for hours of frantic, kinetic fun.

Fight. Fall. Rise again.",https://productionappstorage-f3b9.kxcdn.com/21530/conversions/Temp-Key-Art-600x280-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/21533/conversions/10-second-video-FB.webm,Fantasy,1,3,,858260
Karnage Chronicles,"Play as a Murkwraith, an undying knight barred from Death’s domain, and cursed to eternal servitude for sins committed eons ago. Experience a rich story that takes you on a perilous journey through dark dungeons filled with monsters, traps, puzzles, treasure and more.",https://productionappstorage-f3b9.kxcdn.com/8007/conversions/VWXrrTtG7TGPH0KMFqRl59Mmu53cu5iVxVPcqBCC-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10915/conversions/gceJbAouGSHDzEJOZIYJMlh1pxeizIq2qWmRxFAK.webm,Fantasy,1,3,,611160
Elven Assassin,"Take a bow and kill hordes of orcs in the epic town defense game. 
Be careful to avoid massive axes thrown at you by orc warriors.
Dragons fly in to breath fire. Shoot them out of the sky!
Easy teleport to towers by shooting your arrows to them.",https://productionappstorage-f3b9.kxcdn.com/7240/conversions/D9AMLEb5EPHuKI8y3ZqPQsyztkILea6IVFyMKQHK-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10861/conversions/LnWJWPilKTxvkZ4OP96502EFI7O91xryNEGBXnqX.webm,Fantasy,1-4,1,,503770
Lordian: Karma,"Destroy waves of monsters with your powerful magic crossbow and alchemical traps. Freeze, blow, trample, even burn your enemies with various traps available. Multiplayer to various stages of difficulties for single player.",https://productionappstorage-f3b9.kxcdn.com/10272/conversions/59525a50-e6e3-11e8-b3e7-6326fedacca2-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24943/conversions/LordianKarma.webm,Fantasy,1-2,5,,769640
QuiVr,"QuiVr is the defining archery experience, made from the ground up for Virtual Reality. Grab your bow, arrows, and some friends to fight the enemy onslaught. Online PvP.",https://productionappstorage-f3b9.kxcdn.com/7112/conversions/6l3s1ukbn4Llyn4ZtjLYYq4mEWyMQH2zHIIhgFPt-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10813/conversions/UxTP6COQzuvuwdCRAl2pebH8yIqM3uv94wMutOqK.webm,Fantasy,1+,3,,489380
SpellPunk VR,"SpellPunk is a first-person multiplayer VR experience in which you will be immersed in a stunning, abstract world, experiencing fast-paced magical duels. In SpellPunk you will unleash extraordinary powers and turn into a mighty magician who will cast spells by drawing magical symbols in the air with his/hers own hands. Challenge your friends, become a Spellcaster and experience powers unknown!",https://productionappstorage-f3b9.kxcdn.com/24972/conversions/SpellPunk602x282-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/27901/conversions/IncinerationProductions_SpellPunkVR_GameTrailer_June2021.webm,Fantasy,1-2,3,,1258980
Gorilla Tag,"Reject humanity. Run, climb, and jump in VR using a unique locomotion method that only needs the movement of your hands and arms. No buttons, no sticks, no teleportation. Push off of surfaces to jump and squeeze them with both hands to climb. ",https://productionappstorage-f3b9.kxcdn.com/26185/conversions/header-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/26186/conversions/movie_max.webm,Friendly,1+,3,,1533390
Fruit Ninja VR,"Fruit Ninja VR takes squishy, satisfying gameplay and turns it into a virtual reality experience that can be enjoyed by players of all ages and skill levels. Step into the Fruit Ninja universe and tackle fruit from all angles - just don't hit the bombs!",https://productionappstorage-f3b9.kxcdn.com/21421/conversions/IS2eYdfw-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/22849/conversions/FNVRGameplayr_2019_2560x1440_5.9.94fps.webm,Friendly,1,1,,486780
Clash of Chefs VR,Clash of Chefs VR is all about who’s the fastest cook. Prepare ordered food and drinks to satisfy your customers. Compete against other players online and win the bragging rights as the best chef in the world.,https://productionappstorage-f3b9.kxcdn.com/22710/conversions/cover_update-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24908/conversions/clashofchefs_1.webm,Friendly,1-2,1,,960040
Angry Birds,"Join Red, Chuck, Bomb and the Blues to save the stolen eggs in Angry Birds VR: Isle of Pigs, an immersive VR game adventure from Resolution Games! 

Explore the remote island where the greedy green pigs take their vacation in 104 fun-filled levels! Make your way up to party city through the serene “Vacation Levels” of exotic beaches, steep cliffs and snowy slopes while destroying structures in the most spectacular way. Once the new boss pig Dr. Frankenswine takes over, it’s time to slingshot your way through even more challenging “Spooky Levels” gameplay, where the beaches are scary, the cliffs are creepy, the slopes are slimy and the peaks are terrifying.",https://productionappstorage-f3b9.kxcdn.com/28272/conversions/ABVR_arcade_920x430-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/21392/conversions/ABVRIoP_ReleaseTrailer_5Mbps.webm,Friendly,1,1,,1001140
Budget Cuts,"Budget Cuts 2: Mission Insolvency is a stealth action game built for the total immersion that only heavily spatial VR experiences can bring, bound together with an epic story, spine-tingling tension and a delicious blend of violence, tongue-in-cheek humor, and tacos.",https://productionappstorage-f3b9.kxcdn.com/20707/conversions/BC2MI-keyart-v3-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/20911/conversions/BC2MI_Gameplay-Teaser.webm,Friendly,1,3,,400940
Gorilla Tag,"Reject humanity. Run, climb, and jump in VR using a unique locomotion method that only needs the movement of your hands and arms. No buttons, no sticks, no teleportation. Push off of surfaces to jump and squeeze them with both hands to climb. The game mode is simple tag, for up to 3 players, or infection mode, with 4 or more. Run from the infected gorillas, or outmaneuver the survivors to catch them. ",https://productionappstorage-f3b9.kxcdn.com/26185/conversions/header-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/26186/conversions/movie_max.webm,Friendly,1+,3,,1533390
Shooty Fruity Arcade,"Shooty Fruity - the hit VR shooter that combines hilarious job simulation with high-octane action! As the newest Super Mega Mart employee, destroy hordes of mutant fruit in deliciously sweet combat whilst doing your day job. With stacks of guns and loads of deadly fruit ripe for destruction, this is the funniest, most addictive way to play VR. Blip blip! Bang bang!",https://productionappstorage-f3b9.kxcdn.com/9184/conversions/PbLa0ETEQGOQ6CQ5ftUJPgQyvEtyzNrVAu6EHoJq-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24909/conversions/shootyfruity.webm,Friendly,1,1,,666100
Spider-Man,"Your time to swing through New York like Spider-Man™ has finally arrived! Just put on your Spider-Man suit and you’ll be launched into the clouds… but keep your eyes and ears peeled, a colossal and dangerous enemy is waiting.  Only you have the power to find and confront New York’s latest attacker in this thrilling, swinging adventure.      
",https://productionappstorage-f3b9.kxcdn.com/15148/conversions/header-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/15149/conversions/movie_max.webm,Friendly,1,1,,2651280
Kitten'd,"-Take care of an overwhelming amount of kittens!-7 super cute kitten breeds with unique characteristics.-Rewarding fast-paced family friendly game-play.-Easy-to-master two-button controls.-See the kittens eat, play and destroy your home in stunning VR.-Or just hang out with a lot of kittens in the sandbox mode.",https://productionappstorage-f3b9.kxcdn.com/18767/conversions/FULL-IMAGE-LOGO-KITTENS-BACKGROUND-SQUARE-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/18773/conversions/Kitten'd---Release-Trailer.webm,Friendly,1,1,,842140
Richie's Plank Experience,"Enter the elevator to explore three amazing experience! 
Plank: Are you afraid of heights?  Take an elevator to our plank that’s sits 80 stories high, then dare to walk to the end! 
Fire Deck: Includes the most exhilarating flying experience ever created. Put out the fire in the city.
Sky Deck: Paint your name in the sky or draw a picture while you fly.",https://productionappstorage-f3b9.kxcdn.com/7134/conversions/szpQjwEED5NtwrmpSXC1YZH0Rxtc3P3h20qwdfYX-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/17176/conversions/30s-Arcade-Trailer.webm,Friendly,1,3,,517160
Job Simulator,"In a world where robots have replaced all human jobs, step into the ""Job Simulator"" to learn what it was like to JOB!",https://productionappstorage-f3b9.kxcdn.com/7111/conversions/PU8104qTzjQib7ed2scHiZTOilGwk9Fo9VJpxCkN-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10812/conversions/KBo5iYqEWimmNzbJmI4EFtl7HZx1PiYHEey6pTFe.webm,Friendly,1,1,,448280
Beast Pets,Beast Pets are smart and magical pets that live in virtual reality. Come play with cute baby dragons that behave like flying puppies! Beast Pets are friendly for all ages and perfect for families trying VR for the first time.,https://productionappstorage-f3b9.kxcdn.com/8243/conversions/O4YgZMolSyQ44sIvZ37nzsEiUsyLFBp5HFeRxB8i-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/20428/conversions/beastpets_trailer2_compressed.webm,Friendly,1,3,,629970
Cave Digger,"Cave Digger is a virtual reality mining game. The game takes place in a small town in an alternative western universe. Gear up with scrappy aftermarket tools and devices and jump into the elevator that will take you deep down into the mine. Find the rich veins that are just waiting for the honest, hard workers to whack their pickaxes at them!",https://productionappstorage-f3b9.kxcdn.com/21019/conversions/CoverImageMini_Cave_Digger-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/21023/conversions/Untitled.webm,Friendly,1,1,,1265870
The Cooking Game,"Enjoy the fun and excitement of preparing fast food dishes, competing with rival chef and serving hungry customers! Various fast food items 30 missions of increasing difficulty - Realistic cooking simulation: add mustard to hotdog by squeezing the bottle; cook burger meat in a frying pan; and operate deep frying machine like a PRO! ",https://productionappstorage-f3b9.kxcdn.com/10079/conversions/57b26350-9493-11e8-b77d-61f6b12887d0-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24921/conversions/TheCookingGame.webm,Friendly,1,3,,504310
Loco Dojo,"Enter the whimsical wooden world of Loco Dojo and step up to Grand Sensei’s ‘Table of Trials’ to pit your silliest skills against (up to) three friends or strangers in this hilariously competitive cross-platform multiplayer social VR party game. 
",https://productionappstorage-f3b9.kxcdn.com/8408/conversions/VjaFhdeZnqJZASDSY3czxdUWoVggnO59Rc1ggnmz-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10946/conversions/JIIYsgEJaNTqV0CHOiRVeEJYHVHunCYdgEpUgtZe.webm,Friendly,1,1,,667800
RecRoom,"Welcome to Rec Room, the virtual reality social club where you play active games with players from all around the world. Hang out in the locker room, customize your appearance, then party up with friends new and old to play games like Paintball, Dodgeball, 3D Charades, Disc Golf and much more!",https://productionappstorage-f3b9.kxcdn.com/7135/conversions/3uPq982PgYcjpHglkHi1Y5WhXzeP46QCOCBot334-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10824/conversions/HuDpL3MhMwFI7KphDyDQ3t6t9imgct9H4GqkK849.webm,Friendly,1+,3,,471710
Snow Fortress,SNOWBALL FIGHT! Relive your childhood by building the perfect snow fort and protecting it from getting trashed by an army of angry snowmen! Unlock tools to protect your fort and deliver a flurry of snowballs at your opponents!,https://productionappstorage-f3b9.kxcdn.com/7160/conversions/GrltBVrEIFZjJ5A1zKV5DwUAKe6xtlfsbp8tAIFa-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10835/conversions/kM8BHm1oDPi3kRkUceD229wn44mje99bl2Hggy9m.webm,Friendly,1-2,1,,468740
Vacation Simulator,"Welcome to the Vacation Simulator, a rough approximation of VACATION inspired by real human NOT JOBBING, brought to you by the same robots behind the Job Simulator. Reallocate your bandwidth and get ready to splash, s’more, snowball, and selfie your way to optimal relaxation!  ",https://productionappstorage-f3b9.kxcdn.com/10547/conversions/su5jpi8zbZa9cpiGVdEtJEaCsoScywrZchZDhEpx-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24961/conversions/vacationsimulator2.webm,Friendly,1,1,,726830
Winter Break,Winter Break is a family friendly VR game in which two teams of 5 players fight each other in a snowball fight. The players face off in a quick fight set in a beautiful and cute winter park. Score by hitting other players or the special events spawning over the course of the game. The player with the highest score will become the grand winner of the winter break! Great for families!,https://productionappstorage-f3b9.kxcdn.com/19846/conversions/Banniere_WB_600x280-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/19871/conversions/Trailer_WinterBreak_Springboard.webm,Friendly,1-10,1,,1203390
Epic Fun,"Epic Fun is a collection of theme park-inspired attractions. Roller coasters are our main attractions! There are six in total and each one has a unique theme and comes with an exclusive rail shooting game! Be sure to test your fear of heights in our freefall tower and take a leisurely ride on our event-filled ferris wheel. Compete for the best position in the different rankings of each of the three games: Shooting, Dart and Hammer.",https://productionappstorage-f3b9.kxcdn.com/18623/conversions/SpringboardVR-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/18627/conversions/EpicFun_Trailer_SpringboardVR.webm,Friendly,1,1,,909100
